Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.2.15-10.0.2.5-39023-5432-6,10.0.2.15,39023,10.0.2.5,5432,6,15/12/2025 11:05:30 PM,19434,6,5,80,285,41,0,13.33333333,20.66559137,272,0,57,120.3204056,18781.51693,566.0183184,1943.4,1658.45418,4710,1,16356,3271.2,1682.646636,5916,1517,16876,4219,2967.676645,6326,1,0,0,0,0,200,168,308.7372646,257.2810538,0,272,30.41666667,77.60794047,6022.992424,2,2,0,4,10,0,0,0,0,33.18181818,13.33333333,57,0,0,0,365,4,36452,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,1
10.0.2.15-10.0.2.5-40639-5432-6,10.0.2.15,40639,10.0.2.5,5432,6,15/12/2025 11:05:31 PM,22348,5,5,80,109,41,0,16,21.92031022,96,0,21.8,41.8592881,8457.132629,447.4673349,2483.111111,2256.292116,5907,1,18290,4572.5,1171.534748,5907,3139,19244,4811,4791.850512,9243,1,0,0,0,0,168,168,223.7336674,223.7336674,0,96,17.18181818,30.56081865,933.9636364,1,2,0,4,9,0,0,0,1,18.9,16,21.8,0,0,0,189,4,13930,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-44221-5432-6,10.0.2.15,44221,10.0.2.5,5432,6,15/12/2025 11:05:31 PM,22230,6,5,80,285,41,0,13.33333333,20.66559137,272,0,57,120.3204056,16419.25326,494.8268106,2223,1801.350851,5476,16,18096,3619.2,1997.874045,6532,1454,20223,5055.75,3017.431178,9276,2827,0,0,0,0,200,168,269.9055331,224.9212776,0,272,30.41666667,77.60794047,6022.992424,2,2,0,4,10,0,0,0,0,33.18181818,13.33333333,57,0,0,0,365,4,27023,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,1
10.0.2.15-10.0.2.5-38597-5432-6,10.0.2.15,38597,10.0.2.5,5432,6,15/12/2025 11:05:32 PM,15643,5,5,80,109,41,0,16,21.92031022,96,0,21.8,41.8592881,12082.08144,639.2635684,1738.111111,1106.719301,3283,19,12186,3046.5,1452.564973,4488,1070,12360,3090,1402.356588,4793,1679,0,0,0,0,168,168,319.6317842,319.6317842,0,96,17.18181818,30.56081865,933.9636364,1,2,0,4,9,0,0,0,1,18.9,16,21.8,0,0,0,189,4,20405,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-39499-5432-6,10.0.2.15,39499,10.0.2.5,5432,6,15/12/2025 11:05:32 PM,25651,5,5,80,109,41,0,16,21.92031022,96,0,21.8,41.8592881,7368.133796,389.848349,2850.111111,2829.961989,7643,217,22758,5689.5,4874.003317,11650,1181,23584,5896,5862.703188,11490,601,0,0,0,0,168,168,194.9241745,194.9241745,0,96,17.18181818,30.56081865,933.9636364,1,2,0,4,9,0,0,0,1,18.9,16,21.8,0,0,0,189,4,12897,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-39015-5432-6,10.0.2.15,39015,10.0.2.5,5432,6,15/12/2025 11:05:33 PM,44364,6,5,80,285,41,0,13.33333333,20.66559137,272,0,57,120.3204056,8227.391579,247.9487873,4436.4,3805.070337,12035,561,39296,7859.2,4033.577035,12478,4400,40725,10181.25,10561.64982,25205,561,0,0,0,0,200,168,135.2447931,112.7039942,0,272,30.41666667,77.60794047,6022.992424,2,2,0,4,10,0,0,0,0,33.18181818,13.33333333,57,0,0,0,365,4,13033,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,1
10.0.2.15-10.0.2.5-40539-5432-6,10.0.2.15,40539,10.0.2.5,5432,6,15/12/2025 11:05:33 PM,16756,5,5,80,109,41,0,16,21.92031022,96,0,21.8,41.8592881,11279.54166,596.8011459,1861.777778,1346.603949,4311,30,12016,3004,1350.42339,4311,1733,14836,3709,2612.466013,7453,1631,0,0,0,0,168,168,298.4005729,298.4005729,0,96,17.18181818,30.56081865,933.9636364,1,2,0,4,9,0,0,0,1,18.9,16,21.8,0,0,0,189,4,16518,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-38087-5432-6,10.0.2.15,38087,10.0.2.5,5432,6,15/12/2025 11:05:34 PM,17528,5,5,80,109,41,0,16,21.92031022,96,0,21.8,41.8592881,10782.7476,570.5157462,1947.555556,2413.070819,8173,19,14803,3700.75,4527.086655,10463,917,16050,4012.5,5235.253926,11852,972,0,0,0,0,168,168,285.2578731,285.2578731,0,96,17.18181818,30.56081865,933.9636364,1,2,0,4,9,0,0,0,1,18.9,16,21.8,0,0,0,189,4,13364,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-34817-5432-6,10.0.2.15,34817,10.0.2.5,5432,6,15/12/2025 11:05:34 PM,20759,5,5,80,109,41,0,16,21.92031022,96,0,21.8,41.8592881,9104.484802,481.7187726,2306.555556,1672.28572,5310,0,16265,4066.25,2245.480851,6543,1694,18790,4697.5,4263.369677,8550,0,0,0,0,0,168,168,240.8593863,240.8593863,0,96,17.18181818,30.56081865,933.9636364,1,2,0,4,9,0,0,0,1,18.9,16,21.8,0,0,0,189,4,17916,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-34453-5432-6,10.0.2.15,34453,10.0.2.5,5432,6,15/12/2025 11:05:35 PM,32807,6,5,80,285,41,0,13.33333333,20.66559137,272,0,57,120.3204056,11125.6744,335.2942969,3280.7,5367.26947,18220,34,30429,6085.8,7459.604259,19327,1505,30287,7571.75,7120.785929,18220,3320,0,0,0,0,200,168,182.8877983,152.4064986,0,272,30.41666667,77.60794047,6022.992424,2,2,0,4,10,0,0,0,0,33.18181818,13.33333333,57,0,0,0,365,4,15221,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,1
10.0.2.15-10.0.2.5-33609-5432-6,10.0.2.15,33609,10.0.2.5,5432,6,15/12/2025 11:05:35 PM,12123,5,5,83,112,42,0,16.6,22.73323558,99,0,22.4,43.189119,16085.12744,824.8783304,1347,1082.679893,3994,574,9725,2431.25,2828.983136,6625,642,11062,2765.5,2189.190794,5978,1056,0,0,0,0,168,168,412.4391652,412.4391652,0,99,17.72727273,31.55658698,995.8181818,1,2,0,4,9,0,0,0,1,19.5,16.6,22.4,0,0,0,195,4,22650,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-37725-5432-6,10.0.2.15,37725,10.0.2.5,5432,6,15/12/2025 11:05:36 PM,22966,5,5,83,112,42,0,16.6,22.73323558,99,0,22.4,43.189119,8490.812505,435.4262823,2551.777778,1450.830174,5089,29,18729,4682.25,2655.307813,8282,2645,20350,5087.5,4837.215349,11984,1319,0,0,0,0,168,168,217.7131412,217.7131412,0,99,17.72727273,31.55658698,995.8181818,1,2,0,4,9,0,0,0,1,19.5,16.6,22.4,0,0,0,195,4,11971,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-39403-5432-6,10.0.2.15,39403,10.0.2.5,5432,6,15/12/2025 11:05:36 PM,19749,5,5,83,112,42,0,16.6,22.73323558,99,0,22.4,43.189119,9873.917667,506.3547521,2194.333333,1939.508056,6930,26,15174,3793.5,2384.811733,6930,1553,18350,4587.5,3399.066588,9483,2048,0,0,0,0,168,168,253.1773761,253.1773761,0,99,17.72727273,31.55658698,995.8181818,1,2,0,4,9,0,0,0,1,19.5,16.6,22.4,0,0,0,195,4,14179,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-38303-5432-6,10.0.2.15,38303,10.0.2.5,5432,6,15/12/2025 11:05:37 PM,11664,5,5,83,112,42,0,16.6,22.73323558,99,0,22.4,43.189119,16718.107,857.3388203,1296,936.2579773,2836,24,9444,2361,682.4470675,3025,1425,8828,2207,1687.142555,4376,783,0,0,0,0,168,168,428.6694102,428.6694102,0,99,17.72727273,31.55658698,995.8181818,1,2,0,4,9,0,0,0,1,19.5,16.6,22.4,0,0,0,195,4,36592,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,0
10.0.2.15-10.0.2.5-35091-5432-6,10.0.2.15,35091,10.0.2.5,5432,6,15/12/2025 11:05:37 PM,22346,6,5,83,287,42,0,13.83333333,21.43284084,274,0,57.4,121.2138606,16557.7732,492.2581223,2234.6,1865.138851,5494,35,19769,3953.8,2218.344811,6923,1301,20190,5047.5,3788.775748,10659,2607,0,0,0,0,200,168,268.5044303,223.7536919,0,274,30.83333333,78.20815272,6116.515152,2,2,0,4,10,0,0,0,0,33.63636364,13.83333333,57.4,0,0,0,370,4,25259,0,0,0,0,64240,46,2,32,0,0,0,0,0,0,0,0,1
